Id_zone,Type_zone,Libelle_zone,value,label
07|531,EFOP,Mayenne Centre,199,EFOP - Mayenne Centre
07|532,EFOP,Mayenne Nord,200,EFOP - Mayenne Nord
07|533,EFOP,Mayenne Sud,201,EFOP - Mayenne Sud
07|721,EFOP,Sarthe Centre,202,EFOP - Sarthe Centre
07|722,EFOP,Sarthe Nord,203,EFOP - Sarthe Nord
07|723,EFOP,Sarthe Sud,204,EFOP - Sarthe Sud
07|851,EFOP,Vendée Centre,205,EFOP - Vendée Centre
07|852,EFOP,Vendée Est,206,EFOP - Vendée Est
07|853,EFOP,Vendée Nord,207,EFOP - Vendée Nord
07|854,EFOP,Vendée Ouest,208,EFOP - Vendée Ouest
03|8501,Canton,Aizenay,209,Canton - Aizenay
03|4401,Canton,Ancenis-Saint-Géréon,210,Canton - Ancenis-Saint-Géréon
03|4908,Canton,Beaufort-en-Anjou,211,Canton - Beaufort-en-Anjou
03|4909,Canton,Beaupréau-en-Mauges,212,Canton - Beaupréau-en-Mauges
03|4403,Canton,Blain,213,Canton - Blain
03|5302,Canton,Bonchamp-lès-Laval,214,Canton - Bonchamp-lès-Laval
03|7201,Canton,Bonnétable,215,Canton - Bonnétable
03|4404,Canton,Carquefou,216,Canton - Carquefou
03|8502,Canton,Challans,217,Canton - Challans
03|7202,Canton,Changé,218,Canton - Changé
03|8503,Canton,Chantonnay,219,Canton - Chantonnay
03|4911,Canton,Chemillé-en-Anjou,220,Canton - Chemillé-en-Anjou
03|4406,Canton,Châteaubriant,221,Canton - Châteaubriant
03|4407,Canton,Clisson,222,Canton - Clisson
03|5304,Canton,Cossé-le-Vivien,223,Canton - Cossé-le-Vivien
03|5305,Canton,Ernée,224,Canton - Ernée
03|8505,Canton,Fontenay-le-Comte,225,Canton - Fontenay-le-Comte
03|5307,Canton,Gorron,226,Canton - Gorron
03|4408,Canton,Guémené-Penfao,227,Canton - Guémené-Penfao
03|4409,Canton,Guérande,228,Canton - Guérande
03|5308,Canton,L'Huisserie,229,Canton - L'Huisserie
03|8507,Canton,L'île-d'Yeu,230,Canton - L'île-d'Yeu
03|4402,Canton,La Baule-Escoublac,231,Canton - La Baule-Escoublac
03|4405,Canton,La Chapelle-sur-Erdre,232,Canton - La Chapelle-sur-Erdre
03|8504,Canton,La Châtaigneraie,233,Canton - La Châtaigneraie
03|7205,Canton,La Ferté-Bernard,234,Canton - La Ferté-Bernard
03|7206,Canton,La Flèche,235,Canton - La Flèche
03|7221,Canton,La Suze-sur-Sarthe,236,Canton - La Suze-sur-Sarthe
03|5309,Canton,Lassay-les-Châteaux,237,Canton - Lassay-les-Châteaux
03|7208,Canton,Le Lude,238,Canton - Le Lude
03|8506,Canton,Les Herbiers,239,Canton - Les Herbiers
03|8514,Canton,Les Sables-d'Olonne,240,Canton - Les Sables-d'Olonne
03|5313,Canton,Loiron-Ruillé,241,Canton - Loiron-Ruillé
03|7207,Canton,Loué,242,Canton - Loué
03|8508,Canton,Luçon,243,Canton - Luçon
03|7209,Canton,Mamers,244,Canton - Mamers
03|8509,Canton,Mareuil-sur-Lay-Dissais,245,Canton - Mareuil-sur-Lay-Dissais
03|4916,Canton,Mauges-sur-Loire,246,Canton - Mauges-sur-Loire
03|5314,Canton,Mayenne,247,Canton - Mayenne
03|5315,Canton,Meslay-du-Maine,248,Canton - Meslay-du-Maine
03|8510,Canton,Montaigu-Vendée,249,Canton - Montaigu-Vendée
03|7203,Canton,Montval-sur-Loir,250,Canton - Montval-sur-Loir
03|8511,Canton,Mortagne-sur-Sèvre,251,Canton - Mortagne-sur-Sèvre
03|4418,Canton,Nort-sur-Erdre,252,Canton - Nort-sur-Erdre
03|4419,Canton,Pontchâteau,253,Canton - Pontchâteau
03|7217,Canton,Sablé-sur-Sarthe,254,Canton - Sablé-sur-Sarthe
03|5316,Canton,Saint-Berthevin,255,Canton - Saint-Berthevin
03|4423,Canton,Saint-Brevin-les-Pins,256,Canton - Saint-Brevin-les-Pins
03|7218,Canton,Saint-Calais,257,Canton - Saint-Calais
03|8515,Canton,Saint-Hilaire-de-Riez,258,Canton - Saint-Hilaire-de-Riez
03|8516,Canton,Saint-Jean-de-Monts,259,Canton - Saint-Jean-de-Monts
03|4428,Canton,Saint-Philbert-de-Grand-Lieu,260,Canton - Saint-Philbert-de-Grand-Lieu
03|4429,Canton,Saint-Sébastien-sur-Loire,261,Canton - Saint-Sébastien-sur-Loire
03|4919,Canton,Saumur,262,Canton - Saumur
03|7219,Canton,Savigné-l'Évêque,263,Canton - Savigné-l'Évêque
03|4920,Canton,Segré-en-Anjou Bleu,264,Canton - Segré-en-Anjou Bleu
03|7220,Canton,Sillé-le-Guillaume,265,Canton - Sillé-le-Guillaume
03|4918,Canton,Sèvremoine,266,Canton - Sèvremoine
03|8517,Canton,Talmont-Saint-Hilaire,267,Canton - Talmont-Saint-Hilaire
03|4430,Canton,Vallet,268,Canton - Vallet
03|4431,Canton,Vertou,269,Canton - Vertou
03|5317,Canton,Villaines-la-Juhel,270,Canton - Villaines-la-Juhel
03|7204,Canton,Écommoy,271,Canton - Écommoy
03|5306,Canton,Évron,272,Canton - Évron
01|44001,Commune,Abbaretz,273,Commune - Abbaretz
01|53001,Commune,Ahuillé,274,Commune - Ahuillé
01|72001,Commune,Aigné,275,Commune - Aigné
01|44002,Commune,Aigrefeuille-sur-Maine,276,Commune - Aigrefeuille-sur-Maine
01|72002,Commune,Aillières-Beauvoir,277,Commune - Aillières-Beauvoir
01|85003,Commune,Aizenay,278,Commune - Aizenay
01|53002,Commune,Alexain,279,Commune - Alexain
01|49002,Commune,Allonnes (49),280,Commune - Allonnes (49)
01|72003,Commune,Allonnes (72),281,Commune - Allonnes (72)
01|53003,Commune,Ambrières-les-Vallées,282,Commune - Ambrières-les-Vallées
01|72004,Commune,Amné,283,Commune - Amné
01|44003,Commune,Ancenis-Saint-Géréon,284,Commune - Ancenis-Saint-Géréon
01|72005,Commune,Ancinnes,285,Commune - Ancinnes
01|53005,Commune,Andouillé,286,Commune - Andouillé
01|49007,Commune,Angers,287,Commune - Angers
